GENERO,EDAD,PERSONAS_EN_CONDICION_DE_DISCAPACIDAD,HOMBRES_Y_MUJERES_CABEZA_DE_FAMILIA,ADULTO_MAYOR,GRUPOS_ETNICOS_AFRO_INDIGENA,TIPO_DE_SEGURIDAD_EN_SALUD,NIVEL_EDUCATIVO_QUE_TIENE_O_CURSA,CONDICION_OCUPACIONAL,BARRIO_O_VEREDA_DE_RESIDENCIA,ZONA_DE_RESIDENCIA,PUNTAJE_VULNERABILIDAD,NIVEL_VULNERABILIDAD,RANGO_EDAD
M,76,NO,NO,SI,6 MESTIZO,REGIMEN CONTRIBUTIVO,13-UNIVERISITARIO,NINGUNO,CESAR NADER NADER,URBANO,3,Alto,66-85
M,73,NO,NO,SI,6 MESTIZO,REGIMEN CONTRIBUTIVO,5- MEDIA TÉCNICA (BACHILLERATO TÉCNICO),EMPLEADO,OTRO MUNICIPIO,OTRO,1,Bajo,66-85
M,75,NO,SI,SI,6 MESTIZO,REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,EMPLEADO,CENTRAL,URBANO,3,Alto,66-85
M,78,NO,NO,SI,6 MESTIZO,REGIMEN CONTRIBUTIVO,4- MEDIA ACADÉMICA O CLÁSICA,EMPLEADO,OTRO MUNICIPIO,OTRO,1,Bajo,66-85
M,73,NO,NO,SI,6 MESTIZO,REGIMEN SUBSIDIADO,14- NINGUNO,NINGUNO,LA FLORIDA,RURAL,9,Alto,66-85
M,80,NO,NO,SI,6 MESTIZO,REGIMEN SUBSIDIADO,3- BÁSICA SECUNDARIA,AMA DE CASA,ARABIA,RURAL,6,Alto,66-85
M,52,NO,NO,NO,6 MESTIZO,REGIMEN SUBSIDIADO,2- BÁSICA PRIMARIA,DESEMPLEADO,OTRO MUNICIPIO,OTRO,7,Alto,46-55
M,72,NO,NO,SI,6 MESTIZO,REGIMEN CONTRIBUTIVO,4- MEDIA ACADÉMICA O CLÁSICA,EMPLEADO,SAN FERNANDO,URBANO,1,Bajo,66-85
M,74,NO,NO,SI,6 MESTIZO,REGIMEN CONTRIBUTIVO,10- ESPECIALIZACIÓN,EMPLEADO,KENNEDY,URBANO,1,Bajo,66-85
M,72,NO,NO,SI,6 MESTIZO,REGIMEN CONTRIBUTIVO,2- BÁSICA PRIMARIA,EMPLEADO,LOS NOGALES CONSOTA,URBANO,3,Alto,66-85
M,72,NO,NO,SI,6 MESTIZO,REGIMEN SUBSIDIADO,14- NINGUNO,NINGUNO,LA FLORIDA,RURAL,9,Alto,66-85
M,71,NO,NO,SI,6 MESTIZO,REGIMEN CONTRIBUTIVO,10- ESPECIALIZACIÓN,EMPLEADO,EL BOSQUE UTP,URBANO,1,Bajo,66-85
M,70,NO,NO,SI,6 MESTIZO,REGIMEN CONTRIBUTIVO,8- TECNOLÓGICA,INDEPENDIENTE,LAURELES I,URBANO,1,Bajo,66-85
M,70,NO,SI,SI,6 MESTIZO,REGIMEN CONTRIBUTIVO,9- PROFESIONAL,EMPLEADO,ROCIO ALTO,URBANO,3,Alto,66-85
F,70,NO,NO,SI,6 MESTIZO,REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,DESEMPLEADO,VILLA CONSOTA,URBANO,4,Alto,66-85
M,55,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,9- PROFESIONAL,EMPLEADO,SECTOR PLAZA DE BOLIVAR,URBANO,0,Bajo,46-55
M,66,NO,NO,SI,6 MESTIZO,REGIMEN CONTRIBUTIVO,10- ESPECIALIZACIÓN,NINGUNO,PEREIRA,URBANO,3,Alto,66-85
M,69,NO,NO,SI,6 MESTIZO,REGIMEN CONTRIBUTIVO,2- BÁSICA PRIMARIA,NINGUNO,CESAR NADER NADER,URBANO,5,Alto,66-85
M,66,NO,NO,SI,6 MESTIZO,REGIMEN SUBSIDIADO,2- BÁSICA PRIMARIA,NINGUNO,OLAYA HERRERA,URBANO,7,Alto,66-85
M,66,NO,NO,SI,6 MESTIZO,REGIMEN CONTRIBUTIVO,5- MEDIA TÉCNICA (BACHILLERATO TÉCNICO),EMPLEADO,OTRO MUNICIPIO,OTRO,1,Bajo,66-85
M,67,NO,NO,SI,6 MESTIZO,REGIMEN CONTRIBUTIVO,2- BÁSICA PRIMARIA,INDEPENDIENTE,TRIBUNAS CONSOTA -CORCEGA,RURAL,4,Alto,66-85
M,67,NO,NO,SI,6 MESTIZO,REGIMEN CONTRIBUTIVO,2- BÁSICA PRIMARIA,EMPLEADO,PARQUE INDUSTRIAL,URBANO,3,Alto,66-85
M,66,NO,NO,SI,6 MESTIZO,REGIMEN CONTRIBUTIVO,4- MEDIA ACADÉMICA O CLÁSICA,EMPLEADO,OTRO MUNICIPIO,OTRO,1,Bajo,66-85
M,65,NO,NO,SI,6 MESTIZO,REGIMEN CONTRIBUTIVO,4- MEDIA ACADÉMICA O CLÁSICA,EMPLEADO,OTRO MUNICIPIO,OTRO,1,Bajo,56-65
M,68,NO,NO,SI,6 MESTIZO,REGIMEN CONTRIBUTIVO,2- BÁSICA PRIMARIA,NINGUNO,ESTACIÓN VILLEGAS,RURAL,6,Alto,66-85
M,64,NO,NO,SI,6 MESTIZO,REGIMEN CONTRIBUTIVO,9- PROFESIONAL,INDEPENDIENTE,PINARES DE SAN MARTIN,URBANO,1,Bajo,56-65
M,65,NO,SI,SI,6 MESTIZO,REGIMEN CONTRIBUTIVO,7- TÉCNICA PROFESIONAL,EMPLEADO,CENTRAL,URBANO,3,Alto,56-65
M,65,NO,NO,SI,6 MESTIZO,REGIMEN CONTRIBUTIVO,9- PROFESIONAL,INDEPENDIENTE,CENTRAL,URBANO,1,Bajo,56-65
M,69,NO,SI,SI,6 MESTIZO,REGIMEN CONTRIBUTIVO,10- ESPECIALIZACIÓN,EMPLEADO,YARUMITO,RURAL,4,Alto,66-85
M,64,NO,NO,SI,6 MESTIZO,REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,NINGUNO,LOS NOGALES CONSOTA,URBANO,3,Alto,56-65
F,64,NO,NO,SI,6 MESTIZO,REGIMEN SUBSIDIADO,3- BÁSICA SECUNDARIA,DESEMPLEADO,CENTRAL,URBANO,6,Alto,56-65
M,64,NO,NO,SI,6 MESTIZO,REGIMEN SUBSIDIADO,3- BÁSICA SECUNDARIA,DESEMPLEADO,CENTRAL,URBANO,6,Alto,56-65
F,63,NO,NO,SI,6 MESTIZO,REGIMEN SUBSIDIADO,2- BÁSICA PRIMARIA,DESEMPLEADO,EL DORADO,URBANO,8,Alto,56-65
M,63,NO,NO,SI,6 MESTIZO,REGIMEN CONTRIBUTIVO,7- TÉCNICA PROFESIONAL,EMPLEADO,POPULAR MODELO,URBANO,1,Bajo,56-65
M,63,NO,NO,SI,6 MESTIZO,REGIMEN CONTRIBUTIVO,9- PROFESIONAL,EMPLEADO,EL POBLADO,URBANO,1,Bajo,56-65
M,63,NO,NO,SI,6 MESTIZO,REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,EMPLEADO,OTRO MUNICIPIO,OTRO,1,Bajo,56-65
M,66,NO,NO,SI,6 MESTIZO,REGIMEN CONTRIBUTIVO,5- MEDIA TÉCNICA (BACHILLERATO TÉCNICO),EMPLEADO,OTRO MUNICIPIO,OTRO,1,Bajo,66-85
M,63,NO,NO,SI,6 MESTIZO,POBLACION VINCULADA,3- BÁSICA SECUNDARIA,BUSCANDO EMPLEO,EL DORADO,URBANO,7,Alto,56-65
M,63,NO,NO,SI,6 MESTIZO,REGIMEN CONTRIBUTIVO,9- PROFESIONAL,EMPLEADO,AMERICA,URBANO,1,Bajo,56-65
M,63,NO,NO,SI,6 MESTIZO,REGIMEN CONTRIBUTIVO,4- MEDIA ACADÉMICA O CLÁSICA,EMPLEADO,OTRO MUNICIPIO,OTRO,1,Bajo,56-65
M,63,NO,NO,SI,6 MESTIZO,REGIMEN SUBSIDIADO,14- NINGUNO,NINGUNO,LA FLORIDA,RURAL,9,Alto,56-65
M,63,NO,NO,SI,6 MESTIZO,REGIMEN CONTRIBUTIVO,2- BÁSICA PRIMARIA,EMPLEADO,VILLA DEL PRADO,URBANO,3,Alto,56-65
M,63,NO,SI,SI,6 MESTIZO,REGIMEN CONTRIBUTIVO,9- PROFESIONAL,INDEPENDIENTE,CUBA,URBANO,3,Alto,56-65
M,64,NO,NO,SI,6 MESTIZO,REGIMEN SUBSIDIADO,2- BÁSICA PRIMARIA,DESEMPLEADO,REMANSO,URBANO,8,Alto,56-65
M,63,NO,NO,SI,6 MESTIZO,REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,INDEPENDIENTE,CENTRAL,URBANO,1,Bajo,56-65
M,62,NO,SI,SI,6 MESTIZO,REGIMEN CONTRIBUTIVO,4- MEDIA ACADÉMICA O CLÁSICA,EMPLEADO,PADRE VALENCIA,URBANO,3,Alto,56-65
M,63,NO,NO,SI,6 MESTIZO,REGIMEN CONTRIBUTIVO,9- PROFESIONAL,EMPLEADO,CENTRAL,URBANO,1,Bajo,56-65
M,58,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,EMPLEADO,LA VILLA,URBANO,0,Bajo,56-65
M,62,NO,NO,SI,6 MESTIZO,REGIMEN SUBSIDIADO,2- BÁSICA PRIMARIA,NINGUNO,COMBIA BAJA,RURAL,8,Alto,56-65
M,62,NO,NO,SI,6 MESTIZO,REGIMEN CONTRIBUTIVO,11- MAESTRÍA,EMPLEADO,GALICIA ALTA,RURAL,2,Bajo,56-65
M,65,NO,SI,SI,6 MESTIZO,REGIMEN CONTRIBUTIVO,5- MEDIA TÉCNICA (BACHILLERATO TÉCNICO),EMPLEADO,OTRO MUNICIPIO,OTRO,3,Alto,56-65
M,62,NO,NO,SI,6 MESTIZO,REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,EMPLEADO,QUINTAS DE PANORAMA 1,URBANO,1,Bajo,56-65
M,63,NO,NO,SI,6 MESTIZO,REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,DESEMPLEADO,CUBA,URBANO,4,Alto,56-65
M,61,NO,NO,SI,6 MESTIZO,REGIMEN SUBSIDIADO,2- BÁSICA PRIMARIA,DESEMPLEADO,CUBA,URBANO,8,Alto,56-65
M,62,NO,NO,SI,6 MESTIZO,REGIMEN CONTRIBUTIVO,2- BÁSICA PRIMARIA,EMPLEADO,OTRO MUNICIPIO,OTRO,3,Alto,56-65
M,61,NO,NO,SI,6 MESTIZO,REGIMEN CONTRIBUTIVO,4- MEDIA ACADÉMICA O CLÁSICA,INDEPENDIENTE,HERNANDO VELEZ MARULANDA,URBANO,1,Bajo,56-65
M,61,NO,NO,SI,6 MESTIZO,REGIMEN SUBSIDIADO,2- BÁSICA PRIMARIA,INDEPENDIENTE,OTRO MUNICIPIO,OTRO,5,Alto,56-65
M,61,NO,NO,SI,6 MESTIZO,REGIMEN SUBSIDIADO,3- BÁSICA SECUNDARIA,INDEPENDIENTE,OTRO MUNICIPIO,OTRO,3,Alto,56-65
M,61,NO,NO,SI,6 MESTIZO,REGIMEN SUBSIDIADO,2- BÁSICA PRIMARIA,NINGUNO,COMBIA BAJA,RURAL,8,Alto,56-65
M,61,NO,NO,SI,6 MESTIZO,REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,EMPLEADO,CIUDAD JARDIN,URBANO,1,Bajo,56-65
M,60,NO,SI,SI,6 MESTIZO,REGIMEN CONTRIBUTIVO,10- ESPECIALIZACIÓN,EMPLEADO,OTRO MUNICIPIO,OTRO,3,Alto,56-65
M,60,NO,NO,SI,6 MESTIZO,REGIMEN SUBSIDIADO,2- BÁSICA PRIMARIA,NINGUNO,OLAYA HERRERA,URBANO,7,Alto,56-65
M,60,NO,SI,SI,6 MESTIZO,REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,EMPLEADO,PINARES DE SAN MARTIN,URBANO,3,Alto,56-65
M,61,NO,NO,SI,6 MESTIZO,REGIMEN CONTRIBUTIVO,11- MAESTRÍA,EMPLEADO,LOS ALPES,URBANO,1,Bajo,56-65
M,61,NO,SI,SI,6 MESTIZO,REGIMEN CONTRIBUTIVO,9- PROFESIONAL,EMPLEADO,1º  DE FEBRERO,URBANO,3,Alto,56-65
M,60,NO,SI,SI,6 MESTIZO,REGIMEN CONTRIBUTIVO,10- ESPECIALIZACIÓN,EMPLEADO,SECTOR PLAZA DE BOLIVAR,URBANO,3,Alto,56-65
M,60,NO,NO,SI,6 MESTIZO,REGIMEN CONTRIBUTIVO,5- MEDIA TÉCNICA (BACHILLERATO TÉCNICO),EMPLEADO,CUBA,URBANO,1,Bajo,56-65
M,60,NO,SI,SI,6 MESTIZO,REGIMEN CONTRIBUTIVO,9- PROFESIONAL,INDEPENDIENTE,LIBARE,RURAL,4,Alto,56-65
M,60,NO,NO,SI,6 MESTIZO,REGIMEN SUBSIDIADO,3- BÁSICA SECUNDARIA,AMA DE CASA,ALTAGRACIA,RURAL,6,Alto,56-65
M,60,NO,NO,SI,6 MESTIZO,REGIMEN SUBSIDIADO,2- BÁSICA PRIMARIA,INDEPENDIENTE,ALTAGRACIA,RURAL,6,Alto,56-65
M,61,NO,NO,SI,6 MESTIZO,REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,EMPLEADO,PARQUE INDUSTRIAL,URBANO,1,Bajo,56-65
M,61,NO,NO,SI,6 MESTIZO,REGIMEN SUBSIDIADO,3- BÁSICA SECUNDARIA,DESEMPLEADO,OTRO MUNICIPIO,OTRO,6,Alto,56-65
M,60,NO,NO,SI,6 MESTIZO,REGIMEN CONTRIBUTIVO,10- ESPECIALIZACIÓN,EMPLEADO,EL BOSQUE UTP,URBANO,1,Bajo,56-65
M,59,NO,SI,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,9- PROFESIONAL,INDEPENDIENTE,GALICIA ALTA,RURAL,3,Alto,56-65
M,59,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,EMPLEADO,VILLA DEL SUR,URBANO,0,Bajo,56-65
M,59,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,5- MEDIA TÉCNICA (BACHILLERATO TÉCNICO),EMPLEADO,SAN FERNANDO,URBANO,0,Bajo,56-65
M,59,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,7- TÉCNICA PROFESIONAL,NINGUNO,CENTRAL,URBANO,2,Bajo,56-65
M,59,NO,NO,NO,6 MESTIZO,REGIMEN SUBSIDIADO,2- BÁSICA PRIMARIA,NINGUNO,OLAYA HERRERA,URBANO,6,Alto,56-65
M,59,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,4- MEDIA ACADÉMICA O CLÁSICA,EMPLEADO,OTRO MUNICIPIO,OTRO,0,Bajo,56-65
M,60,NO,NO,SI,6 MESTIZO,REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,EMPLEADO,LAS PALMAS,URBANO,1,Bajo,56-65
F,59,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,8- TECNOLÓGICA,EMPLEADO,CUBA,URBANO,0,Bajo,56-65
M,59,NO,SI,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,EMPLEADO,ROCIO ALTO,URBANO,2,Bajo,56-65
M,60,NO,NO,SI,6 MESTIZO,REGIMEN CONTRIBUTIVO,10- ESPECIALIZACIÓN,EMPLEADO,EL BOSQUE UTP,URBANO,1,Bajo,56-65
M,59,NO,SI,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,9- PROFESIONAL,EMPLEADO,CENTRAL,URBANO,2,Bajo,56-65
M,59,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,2- BÁSICA PRIMARIA,EMPLEADO,VILLA COLOMBIA,URBANO,2,Bajo,56-65
M,61,NO,SI,SI,6 MESTIZO,REGIMEN CONTRIBUTIVO,10- ESPECIALIZACIÓN,EMPLEADO,HAMBURGO,URBANO,3,Alto,56-65
M,58,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,9- PROFESIONAL,EMPLEADO,LA BELLA,RURAL,1,Bajo,56-65
M,59,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,2- BÁSICA PRIMARIA,EMPLEADO,LOS 2500,URBANO,2,Bajo,56-65
M,58,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,EMPLEADO,JARDIN I,URBANO,0,Bajo,56-65
M,58,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,5- MEDIA TÉCNICA (BACHILLERATO TÉCNICO),EMPLEADO,SECTOR PLAZA DE BOLIVAR,URBANO,0,Bajo,56-65
M,59,NO,SI,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,8- TECNOLÓGICA,EMPLEADO,BELMONTE,URBANO,2,Bajo,56-65
M,58,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,10- ESPECIALIZACIÓN,EMPLEADO,LOS ANGELES,URBANO,0,Bajo,56-65
M,58,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,9- PROFESIONAL,EMPLEADO,AMERICA,URBANO,0,Bajo,56-65
M,58,NO,SI,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,2- BÁSICA PRIMARIA,EMPLEADO,MONTELIBANO,URBANO,4,Alto,56-65
M,58,NO,NO,NO,6 MESTIZO,REGIMEN SUBSIDIADO,2- BÁSICA PRIMARIA,INDEPENDIENTE,BAVARIA,URBANO,4,Alto,56-65
M,58,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,10- ESPECIALIZACIÓN,INDEPENDIENTE,PINARES DE SAN MARTIN,URBANO,0,Bajo,56-65
M,58,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,11- MAESTRÍA,EMPLEADO,JARDIN I,URBANO,0,Bajo,56-65
M,58,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,4- MEDIA ACADÉMICA O CLÁSICA,EMPLEADO,CUBA,URBANO,0,Bajo,56-65
M,58,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,8- TECNOLÓGICA,INDEPENDIENTE,PINARES ALTO,URBANO,0,Bajo,56-65
M,58,NO,NO,NO,6 MESTIZO,POBLACION VINCULADA,3- BÁSICA SECUNDARIA,EMPLEADO,JOSE ANTONIO GALAN,URBANO,3,Alto,56-65
M,58,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,AMA DE CASA,OTRO MUNICIPIO,OTRO,2,Bajo,56-65
M,58,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,EMPLEADO,OTRO MUNICIPIO,OTRO,0,Bajo,56-65
M,58,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,9- PROFESIONAL,EMPLEADO,ALCALA DEL CAMPO,URBANO,0,Bajo,56-65
M,58,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,4- MEDIA ACADÉMICA O CLÁSICA,EMPLEADO,OTRO MUNICIPIO,OTRO,0,Bajo,56-65
M,57,NO,NO,NO,6 MESTIZO,REGIMEN SUBSIDIADO,9- PROFESIONAL,INDEPENDIENTE,VILLAVICENCIO,URBANO,2,Bajo,56-65
M,57,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,8- TECNOLÓGICA,EMPLEADO,LENINGRADO III,URBANO,0,Bajo,56-65
M,57,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,2- BÁSICA PRIMARIA,EMPLEADO,CUBA,URBANO,2,Bajo,56-65
M,57,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,EMPLEADO,LOS 2500,URBANO,0,Bajo,56-65
M,57,NO,NO,NO,"5 - NEGRO(A), MULATO(A), AFROCOLOMBIANO(A) O AFRO DESCENDIENTE",REGIMEN CONTRIBUTIVO,8- TECNOLÓGICA,EMPLEADO,SECTOR PLAZA DE BOLIVAR,URBANO,1,Bajo,56-65
M,57,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,7- TÉCNICA PROFESIONAL,EMPLEADO,CESAR NADER NADER,URBANO,0,Bajo,56-65
M,57,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,10- ESPECIALIZACIÓN,EMPLEADO,EL BOSQUE UTP,URBANO,0,Bajo,56-65
M,57,NO,SI,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,10- ESPECIALIZACIÓN,EMPLEADO,JARDIN II,URBANO,2,Bajo,56-65
M,57,NO,SI,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,8- TECNOLÓGICA,EMPLEADO,BELMONTE,URBANO,2,Bajo,56-65
M,57,NO,SI,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,12- DOCTORADO,EMPLEADO,PARQUE INDUSTRIAL,URBANO,2,Bajo,56-65
M,56,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,10- ESPECIALIZACIÓN,EMPLEADO,ALTAVISTA,URBANO,0,Bajo,56-65
M,57,NO,SI,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,10- ESPECIALIZACIÓN,EMPLEADO,OTRO MUNICIPIO,OTRO,2,Bajo,56-65
M,71,NO,NO,SI,6 MESTIZO,REGIMEN CONTRIBUTIVO,9- PROFESIONAL,EMPLEADO,COMBIA ALTA,RURAL,2,Bajo,66-85
M,56,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,10- ESPECIALIZACIÓN,EMPLEADO,TINAJAS,URBANO,0,Bajo,56-65
M,53,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,9- PROFESIONAL,EMPLEADO,MUNDO NUEVO,RURAL,1,Bajo,46-55
M,56,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,9- PROFESIONAL,EMPLEADO,GALICIA ALTA,RURAL,1,Bajo,56-65
M,56,NO,SI,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,10- ESPECIALIZACIÓN,EMPLEADO,TRES PUERTAS,RURAL,3,Alto,56-65
M,56,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,EMPLEADO,LOS 2500,URBANO,0,Bajo,56-65
M,56,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,10- ESPECIALIZACIÓN,INDEPENDIENTE,PARQUE INDUSTRIAL,URBANO,0,Bajo,56-65
M,56,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,9- PROFESIONAL,EMPLEADO,POPULAR MODELO,URBANO,0,Bajo,56-65
M,56,NO,SI,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,13-UNIVERISITARIO,ESTUDIANTE,COROCITO,URBANO,2,Bajo,56-65
M,56,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,EMPLEADO,MUNDO NUEVO,RURAL,1,Bajo,56-65
M,56,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,NINGUNO,NUEVO PLAN,URBANO,2,Bajo,56-65
M,56,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,NINGUNO,NUEVO PLAN,URBANO,2,Bajo,56-65
M,56,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,5- MEDIA TÉCNICA (BACHILLERATO TÉCNICO),EMPLEADO,SECTOR PLAZA DE BOLIVAR,URBANO,0,Bajo,56-65
M,56,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,INDEPENDIENTE,AMERICA,URBANO,0,Bajo,56-65
M,55,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,9- PROFESIONAL,EMPLEADO,BOSTON,URBANO,0,Bajo,46-55
M,55,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,10- ESPECIALIZACIÓN,EMPLEADO,CENTRAL,URBANO,0,Bajo,46-55
M,55,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,7- TÉCNICA PROFESIONAL,NINGUNO,CUBA,URBANO,2,Bajo,46-55
M,55,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,5- MEDIA TÉCNICA (BACHILLERATO TÉCNICO),EMPLEADO,ALFONSO LOPEZ PUMAREJO,URBANO,0,Bajo,46-55
M,52,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,9- PROFESIONAL,EMPLEADO,LA AURORA,URBANO,0,Bajo,46-55
M,55,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,EMPLEADO,OTRO MUNICIPIO,OTRO,0,Bajo,46-55
M,55,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,5- MEDIA TÉCNICA (BACHILLERATO TÉCNICO),EMPLEADO,SECTOR PLAZA DE BOLIVAR,URBANO,0,Bajo,46-55
M,54,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,4- MEDIA ACADÉMICA O CLÁSICA,EMPLEADO,SAN FERNANDO,URBANO,0,Bajo,46-55
M,54,NO,NO,NO,6 MESTIZO,POBLACION VINCULADA,3- BÁSICA SECUNDARIA,BUSCANDO EMPLEO,EL LAGO,URBANO,6,Alto,46-55
M,56,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,7- TÉCNICA PROFESIONAL,EMPLEADO,OTRO MUNICIPIO,OTRO,0,Bajo,56-65
M,73,NO,NO,SI,6 MESTIZO,REGIMEN CONTRIBUTIVO,7- TÉCNICA PROFESIONAL,EMPLEADO,ARABIA,RURAL,2,Bajo,66-85
M,54,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,7- TÉCNICA PROFESIONAL,INDEPENDIENTE,CENTRAL,URBANO,0,Bajo,46-55
M,54,NO,SI,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,10- ESPECIALIZACIÓN,EMPLEADO,LAURELES I,URBANO,2,Bajo,46-55
M,54,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,EMPLEADO,CESAR NADER NADER,URBANO,0,Bajo,46-55
M,54,NO,SI,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,NINGUNO,CUBA,URBANO,4,Alto,46-55
M,54,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,9- PROFESIONAL,EMPLEADO,SECTOR PLAZA DE BOLIVAR,URBANO,0,Bajo,46-55
M,53,NO,SI,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,10- ESPECIALIZACIÓN,INDEPENDIENTE,LOS ALAMOS,URBANO,2,Bajo,46-55
M,53,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,2- BÁSICA PRIMARIA,EMPLEADO,SECTOR PARQUE LA LIBERTAD,URBANO,2,Bajo,46-55
M,53,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,11- MAESTRÍA,EMPLEADO,ANDALUCIA,URBANO,0,Bajo,46-55
M,53,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,AMA DE CASA,JAIME SALAZAR ROBLEDO,URBANO,2,Bajo,46-55
